reply_status,externalUserId,source,status,conversation_id,talker_id,msg_id,sender_uid,sender_name,receiver_uid,msg_type,content,timestamp,message_time,last_inbound_at,last_outbound_at,inbound_count,outbound_count
replied,bili_10001,bilibili,new_lead,1,10001,local-out-1,10001,??????,3546912309382109,text,[空消息],1780910631000,2026-06-08 17:23:51,1780910631,1780910653,2,1
replied,bili_400723357,bilibili,new_lead,11,400723357,7646053647013443301,400723357,B站用户_400723357,3546912309382109,text,您好，请问下联系电话多少？我对贵公司的柔性纤维传感器很感兴趣,1780235592000,2026-05-31 21:53:12,1780235592,1780899311,1,3
replied,bili_11435230,bilibili,new_lead,10,11435230,7641138323944548127,11435230,B站用户_11435230,3546912309382109,text,你们的手套看起来非常吸引人，想用来做脑机接口触觉神经编码方向的科研，能合作吗。,1779091154000,2026-05-18 15:59:14,1779091154,1780899333,1,1
replied,bili_3494357726398919,bilibili,new_lead,9,3494357726398919,7641093032880609328,3494357726398919,B站用户_3494357726398919,3546912309382109,text,您好，我想咨询您一下，这个传感手套多少钱呀，我们想采购几个来做机械手的实验[星星眼],1779080609000,2026-05-18 13:03:29,1779080609,1780899340,1,1
replied,bili_22858544,bilibili,new_lead,8,22858544,7631049642435286838,22858544,B站用户_22858544,3546912309382109,text,你好，产品和配套软件的价格是多少呢，我对你们产品非常感兴趣，想了解一下,1776742200000,2026-04-21 11:30:00,1776742200,1780899348,1,1
replied,bili_8873672,bilibili,new_lead,17,8873672,7618408029179987848,8873672,B站用户_8873672,3546912309382109,text,请问哪里能购买到你们的样品，或哪里能进行体验？,1773798845000,2026-03-18 09:54:05,1773798845,1774002116,1,1
replied,bili_341997176,bilibili,new_lead,19,341997176,7618116959458023498,341997176,B站用户_341997176,3546912309382109,text,贵公司做的触觉手套可供购买吗,1773731075000,2026-03-17 15:04:35,1773731075,1773737474,1,1
replied,bili_1435169044,bilibili,new_lead,22,1435169044,7617601731193512824,1435169044,B站用户_1435169044,3546912309382109,text,你们公司啥时候上市？  我要买  前景大大的好,1773611114000,2026-03-16 05:45:14,1773611114,1773628540,1,1
replied,bili_385485427,bilibili,new_lead,20,385485427,7617358189291950102,385485427,B站用户_385485427,3546912309382109,text,除了boss 还有别的加入咱们公司的渠道么,1773554410000,2026-03-15 14:00:10,1773554410,1773650941,1,1
replied,bili_1885682,bilibili,new_lead,23,1885682,7616668906602465646,1885682,B站用户_1885682,3546912309382109,text,您好，打扰了，看了您家的那个养老床垫很感兴趣，想给家里老人弄一个，请问老人是躺在上面，就会实时监测心率呼吸之类的，异常就报警是吗？,1773393924000,2026-03-13 17:25:24,1773393924,1773447516,1,2
replied,bili_492187254,bilibili,new_lead,1632,492187254,7616440475103966319,492187254,B站用户_492187254,3546912309382109,text,你好，我是一名在俄国留学居住6年的中国人，对你们的产品非常感兴趣，希望且乐意能帮到你们解决任何关于俄语区市场的问题🙋,1773340738000,2026-03-13 02:38:58,1773340738,1773374493,1,1
